2026-05-19 21:22:04,226 [INFO] apscheduler.scheduler: Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 21:22:04,227 [INFO] apscheduler.scheduler: Added job "check_and_send_reminders" to job store "default"
2026-05-19 21:22:04,227 [INFO] apscheduler.scheduler: Scheduler started
2026-05-19 21:22:04,227 [INFO] bot.scheduler: Scheduler started — checking reminders every 30 seconds.
2026-05-19 21:22:04,227 [INFO] __main__: Bot is starting in polling mode...
2026-05-20 02:11:45,693 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:12:15 +05)" (scheduled at 2026-05-20 02:11:45.691567+05:00)
2026-05-20 02:11:45,694 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:12:15 +05)" executed successfully
2026-05-20 02:12:15,696 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:12:45 +05)" (scheduled at 2026-05-20 02:12:15.691567+05:00)
2026-05-20 02:12:15,697 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:12:45 +05)" executed successfully
2026-05-20 02:12:45,702 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:13:15 +05)" (scheduled at 2026-05-20 02:12:45.691567+05:00)
2026-05-20 02:12:45,704 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:13:15 +05)" executed successfully
2026-05-20 02:13:15,706 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:13:45 +05)" (scheduled at 2026-05-20 02:13:15.691567+05:00)
2026-05-20 02:13:15,707 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:13:45 +05)" executed successfully
2026-05-20 02:13:45,694 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:14:15 +05)" (scheduled at 2026-05-20 02:13:45.691567+05:00)
2026-05-20 02:13:45,695 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:14:15 +05)" executed successfully
2026-05-20 02:14:15,697 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:14:45 +05)" (scheduled at 2026-05-20 02:14:15.691567+05:00)
